n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean,class_sep
3,0.0,0.0,0.0,0.0001333333333333,0.0002309401076758,0.0,,0.999950023454038,2.0
3,0.05,0.0517333333333333,0.0019629909152447,0.0507333333333333,0.0006110100926607,0.9895618563360048,0.9711072073390912,0.9999528235762426,2.0
3,0.1,0.1034,0.001,0.1018,0.0018330302779823,0.992861832886388,0.9774322249302762,0.99994192411375,2.0
3,0.15,0.1542,0.0024979991993593,0.1512666666666666,0.0042910760111344,0.9956422353446004,0.9765527853200356,0.9998781495055415,2.0
3,0.2,0.2061333333333333,0.0031005375877955,0.2014666666666666,0.0021939310229205,0.9976938094585152,0.9751728162527886,0.9998510506962732,2.0
3,0.25,0.255,0.0039949968710876,0.248,0.0029597297173897,0.9983972679822264,0.9710342897505312,0.999756339799322,2.0
3,0.3,0.3047333333333333,0.0010263202878893,0.2955333333333333,0.0037220066272554,0.9990855052583448,0.9689114022756778,0.9997561788790365,2.0
3,0.35,0.3553333333333333,0.0033306655991458,0.342,0.0054147945482723,0.9998014691284496,0.9622484989763702,0.9995696509254602,2.0
3,0.4,0.4037333333333333,0.0032145502536643,0.3845333333333333,0.0077468273075713,1.0,0.9524428634168972,0.9995601879760077,2.0
3,0.45,0.4546666666666666,0.0088189190569668,0.4258666666666666,0.0078136632467321,1.0,0.936803510904908,0.9991315371470434,2.0
3,0.5,0.5024000000000001,0.0098974744253268,0.4610666666666667,0.0078621455934963,0.9983945674920373,0.9165557025200942,0.9976930313169956,2.0
4,0.0,0.0,0.0,0.0050666666666666,0.0019731531449264,0.0,,0.9984369244444444,2.0
